,Lg,Sex,Area,Month,Year,Mature
127,74,F,ATL,4,2013,0
128,75,F,ATL,4,2013,0
129,78,F,ATL,4,2013,0
130,79,F,ATL,4,2013,0
131,81,F,ATL,4,2013,0
132,81,F,ATL,4,2013,1
133,81,F,ATL,4,2013,0
134,81,F,ATL,4,2013,1
135,82,F,ATL,4,2013,1
136,83,F,ATL,4,2013,1
137,83,F,ATL,4,2013,0
138,87,F,ATL,4,2013,1
139,91,F,ATL,4,2013,1
140,93,F,ATL,4,2013,1
141,80,M,ATL,4,2013,1
142,81,M,ATL,4,2013,0
143,77,M,ATL,4,2013,0
144,77,M,ATL,4,2013,0
145,75,M,ATL,4,2013,0
148,79,M,ATL,4,2013,1
150,75,M,ATL,4,2013,0
151,74,M,ATL,4,2013,0
154,87,M,ATL,4,2013,1
155,85,M,ATL,4,2013,1
156,91,M,ATL,4,2013,1
157,74,M,ATL,4,2013,0
158,74,M,ATL,4,2013,0
166,94,F,ATL,4,2013,1
167,96,F,ATL,4,2013,1
168,76,M,ATL,4,2013,0
169,87,M,ATL,4,2013,1
171,81,M,ATL,4,2013,1
174,79,M,ATL,4,2013,1
175,82,M,ATL,4,2013,0
176,83,M,ATL,4,2013,0
177,85,M,ATL,4,2013,1
178,79,M,ATL,4,2013,0
179,81,M,ATL,4,2013,0
180,74,M,ATL,4,2013,0
182,85,M,ATL,4,2013,0
183,77,M,ATL,4,2013,0
184,80,M,ATL,4,2013,0
185,84,M,ATL,4,2013,0
186,79,M,ATL,4,2013,1
187,81,M,ATL,4,2013,0
188,81,M,ATL,4,2013,0
189,74,M,ATL,4,2013,0
202,78,M,ATL,4,2013,0
203,82,M,ATL,4,2013,0
204,83,M,ATL,4,2013,1
205,75,M,ATL,4,2013,0
206,78,M,ATL,4,2013,1
207,88,M,ATL,4,2013,1
208,85,M,ATL,4,2013,1
209,83,M,ATL,4,2013,1
210,82,M,ATL,4,2013,1
211,83,M,ATL,4,2013,1
213,80,M,ATL,4,2013,0
214,75,M,ATL,4,2013,0
217,78,M,ECH,4,2013,0
218,79,M,ECH,4,2013,0
219,80,M,ECH,4,2013,1
220,87,M,ECH,4,2013,1
221,78,M,ECH,4,2013,0
222,95,M,ECH,4,2013,1
223,79,M,ECH,4,2013,0
225,76,M,ECH,4,2013,0
226,76,M,ECH,4,2013,1
227,94,F,ECH,4,2013,1
228,81,M,ECH,4,2013,0
229,94,M,ECH,4,2013,1
230,91,M,ECH,4,2013,1
231,89,M,ECH,4,2013,1
232,78,M,ECH,4,2013,1
233,86,M,ECH,4,2013,1
234,86,M,ECH,4,2013,1
235,81,M,ECH,4,2013,0
236,86,M,ECH,4,2013,1
237,83,M,ECH,4,2013,1
238,74,M,ECH,4,2013,0
239,87,M,ECH,4,2013,1
240,96,F,ECH,4,2013,1
241,85,M,ECH,4,2013,1
242,79,M,ECH,4,2013,1
243,83,M,ECH,4,2013,1
244,96,F,ECH,4,2013,1
245,97,F,ECH,4,2013,1
246,90,M,ECH,4,2013,1
247,87,M,ECH,4,2013,1
248,91,M,ECH,4,2013,1
249,92,M,ECH,4,2013,1
250,83,M,ECH,4,2013,1
251,90,M,ECH,4,2013,1
252,81,M,ECH,4,2013,1
253,84,M,ECH,4,2013,1
254,83,M,ECH,4,2013,1
255,77,M,ECH,4,2013,0
257,81,M,ECH,4,2013,1
258,75,M,ECH,4,2013,0
260,92,M,ATL,4,2013,1
261,81,M,ATL,4,2013,0
262,91,M,ATL,4,2013,1
263,83,M,ATL,4,2013,1
267,81,M,ATL,5,2013,1
269,84,M,ATL,5,2013,1
270,82,M,ATL,5,2013,1
271,83,M,ATL,5,2013,1
272,78,M,ATL,5,2013,0
273,95,M,ATL,5,2013,1
274,81,M,ATL,5,2013,0
275,88,M,ATL,5,2013,1
276,78,M,ATL,5,2013,0
277,85,M,ATL,5,2013,1
278,88,M,ATL,5,2013,1
279,77,M,ATL,5,2013,0
280,80,M,ATL,5,2013,1
282,81,M,ATL,5,2013,0
290,89,F,ATL,5,2013,1
291,91,F,ATL,5,2013,1
292,93,F,ATL,5,2013,1
293,83,F,ECH,5,2013,1
294,93,F,ECH,5,2013,1
295,93,M,ECH,5,2013,1
296,81,M,ECH,5,2013,1
297,77,M,ECH,5,2013,0
298,81,M,ECH,5,2013,0
299,87,M,ECH,5,2013,1
300,93,M,ECH,5,2013,1
301,77,F,ECH,5,2013,0
302,79,F,ECH,5,2013,0
303,82,F,ECH,5,2013,0
304,83,F,ECH,5,2013,1
305,84,F,ECH,5,2013,1
307,87,M,ECH,5,2013,1
308,93,M,ECH,5,2013,1
310,80,M,ECH,5,2013,0
311,80,M,ECH,5,2013,1
312,82,M,ECH,5,2013,1
313,83,M,ECH,5,2013,1
314,93,M,ECH,5,2013,1
315,92,M,ECH,5,2013,1
316,78,M,ECH,5,2013,1
317,86,M,ECH,5,2013,1
319,81,M,ECH,5,2013,1
320,82,M,ECH,5,2013,0
321,89,M,ECH,5,2013,1
322,88,M,ECH,5,2013,1
323,85,M,ECH,5,2013,1
324,85,M,ECH,5,2013,1
325,80,F,ECH,6,2013,0
326,84,F,ECH,6,2013,1
327,85,F,ECH,6,2013,0
328,96,F,ECH,6,2013,1
329,99,F,ECH,6,2013,1
330,85,M,ECH,6,2013,1
331,93,M,ECH,6,2013,1
332,86,M,ECH,6,2013,1
333,91,M,ECH,6,2013,1
334,83,M,ECH,6,2013,1
335,87,M,ECH,6,2013,1
336,86,M,ECH,6,2013,1
337,88,M,ECH,6,2013,1
338,87,M,ECH,6,2013,1
339,97,F,ECH,6,2013,1
340,98,F,ECH,6,2013,1
341,99,F,ECH,6,2013,1
342,89,M,ECH,6,2013,1
343,92,M,ECH,6,2013,1
344,86,M,ECH,6,2013,1
345,75,M,ECH,6,2013,0
346,87,M,ECH,6,2013,1
347,92,M,ECH,6,2013,1
348,88,M,ECH,6,2013,1
349,79,M,ECH,6,2013,0
