indicator	area_name	area_code	area_type	year	measure	lower_confidence_interval	upper_confidence_interval
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2010	923.61	881.88	966.76
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2011	960.93	918.56	1004.71
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2012	854.38	814.49	895.69
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2013	791.82	753.6	831.44
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2014	719.63	683.16	757.49
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2015	765.86	728.19	804.94
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2016	709.27	673.18	746.75
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2017	714.73	678.47	752.39
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2018	759.27	722.05	797.87
Alcohol-related hospital admissions	Aberdeen City	S12000033	Council area	2019	710.57	674.93	747.57
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2010	401.83	377.06	427.79
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2011	385.45	361.26	410.82
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2012	323.86	301.71	347.19
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2013	362.83	339.65	387.16
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2014	305.28	284.2	327.5
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2015	284.66	264.37	306.08
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2016	320.52	298.97	343.2
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2017	310.42	289.28	332.68
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2018	312.94	291.77	335.23
Alcohol-related hospital admissions	Aberdeenshire	S12000034	Council area	2019	314.3	292.98	336.75
Alcohol-related hospital admissions	Angus	S12000041	Council area	2010	408.13	371.23	447.68
Alcohol-related hospital admissions	Angus	S12000041	Council area	2011	374.67	339.73	412.21
Alcohol-related hospital admissions	Angus	S12000041	Council area	2012	370.07	335.72	406.95
Alcohol-related hospital admissions	Angus	S12000041	Council area	2013	381.73	346.42	419.62
Alcohol-related hospital admissions	Angus	S12000041	Council area	2014	364.99	330.66	401.89
Alcohol-related hospital admissions	Angus	S12000041	Council area	2015	371.97	337.55	408.9
Alcohol-related hospital admissions	Angus	S12000041	Council area	2016	365.36	331.44	401.77
Alcohol-related hospital admissions	Angus	S12000041	Council area	2017	351.08	317.69	386.99
Alcohol-related hospital admissions	Angus	S12000041	Council area	2018	403.67	367.58	442.3
Alcohol-related hospital admissions	Angus	S12000041	Council area	2019	380.14	345.04	417.8
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2010	888.79	826.75	954.19
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2011	868.81	808.01	932.9
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2012	687.47	633.24	745.02
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2013	665.17	611.86	721.81
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2014	763.15	705.55	824.11
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2015	668.89	615.23	725.88
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2016	674.33	620.04	732
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2017	650.67	597.56	707.14
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2018	664.09	610.44	721.08
Alcohol-related hospital admissions	Argyll & Bute	S12000035	Council area	2019	638.42	585.38	694.85
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2010	695.63	670.24	721.71
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2011	691.56	666.35	717.46
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2012	657.69	633.29	682.77
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2013	662.29	638.02	687.22
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2014	636.19	612.48	660.56
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2015	590	567.3	613.35
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2016	555.34	533.45	577.88
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2017	536.37	515.01	558.36
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2018	542.21	520.8	564.26
Alcohol-related hospital admissions	City of Edinburgh	S12000036	Council area	2019	618.37	595.77	641.6
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2010	441.16	385.42	502.63
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2011	497.52	438.11	562.66
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2012	504.77	444.2	571.17
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2013	505.44	445.44	571.2
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2014	491.8	432.65	556.7
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2015	509.01	449.1	574.63
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2016	503.61	443.75	569.23
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2017	599.92	534.13	671.49
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2018	591.67	525.85	663.37
Alcohol-related hospital admissions	Clackmannanshire	S12000005	Council area	2019	360.28	310.43	415.81
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2010	524.12	487.2	563.05
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2011	499	463.03	536.99
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2012	486.17	450.9	523.43
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2013	518.55	482.11	556.97
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2014	411.13	379.19	445.01
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2015	460.06	425.65	496.45
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2016	448.75	414.27	485.26
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2017	469.07	433.45	506.76
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2018	424.13	390.64	459.67
Alcohol-related hospital admissions	Dumfries & Galloway	S12000006	Council area	2019	441.69	407.61	477.79
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2010	783.96	736.85	833.25
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2011	654.4	611.17	699.84
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2012	676.17	632.57	721.94
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2013	756.55	710.15	805.15
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2014	776.87	729.63	826.33
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2015	673.28	629.39	719.39
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2016	658.48	614.82	704.4
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2017	712.63	667.64	759.83
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2018	707.32	662.42	754.42
Alcohol-related hospital admissions	Dundee City	S12000042	Council area	2019	743.33	697.51	791.34
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2010	980.88	925.67	1038.51
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2011	925.15	871.44	981.28
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2012	819.27	768.73	872.23
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2013	805.15	754.76	857.99
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2014	751.01	701.99	802.51
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2015	662.02	616.33	710.18
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2016	738.31	690.22	788.86
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2017	649.91	604.54	697.76
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2018	665.43	619.77	713.54
Alcohol-related hospital admissions	East Ayrshire	S12000008	Council area	2019	662.37	616.46	710.75
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2010	404.43	366	445.74
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2011	412.48	372.76	455.2
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2012	371.25	334.31	411.1
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2013	435.09	395.17	477.89
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2014	443.77	403.49	486.93
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2015	460.41	419.66	503.99
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2016	530.18	486.24	576.98
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2017	466	424.86	510
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2018	442.99	402.52	486.37
Alcohol-related hospital admissions	East Dunbartonshire	S12000045	Council area	2019	423.81	384.77	465.68
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2010	590.4	541.8	642.15
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2011	547.01	500.71	596.4
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2012	448.68	407.25	493.15
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2013	444.79	404.12	488.42
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2014	468.17	426.13	513.21
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2015	427.68	387.96	470.33
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2016	380.85	344.21	420.32
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2017	415.6	376.8	457.27
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2018	411.04	372.62	452.33
Alcohol-related hospital admissions	East Lothian	S12000010	Council area	2019	416.57	378.17	457.79
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2010	425.1	381.44	472.31
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2011	525.4	476.36	578.04
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2012	484.4	437.49	534.88
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2013	449.29	404.73	497.34
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2014	412.9	371.27	457.86
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2015	437.39	394.32	483.83
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2016	417.61	375.27	463.36
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2017	411.2	370.01	455.67
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2018	450.92	407.91	497.2
Alcohol-related hospital admissions	East Renfrewshire	S12000011	Council area	2019	457.98	414.52	504.71
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2010	374.75	344.35	407.11
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2011	424.31	392.03	458.52
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2012	441.91	408.97	476.76
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2013	512.99	477.45	550.45
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2014	519.35	483.84	556.75
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2015	529.39	493.74	566.93
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2016	490.6	456.48	526.57
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2017	536.04	500.39	573.54
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2018	538.88	503.16	576.45
Alcohol-related hospital admissions	Falkirk	S12000014	Council area	2019	392.16	361.87	424.3
Alcohol-related hospital admissions	Fife	S12000047	Council area	2010	613.92	588.04	640.63
Alcohol-related hospital admissions	Fife	S12000047	Council area	2011	554	529.74	579.08
Alcohol-related hospital admissions	Fife	S12000047	Council area	2012	628.78	602.89	655.5
Alcohol-related hospital admissions	Fife	S12000047	Council area	2013	636.76	610.75	663.59
Alcohol-related hospital admissions	Fife	S12000047	Council area	2014	629.98	604.18	656.59
Alcohol-related hospital admissions	Fife	S12000047	Council area	2015	609.32	583.95	635.51
Alcohol-related hospital admissions	Fife	S12000047	Council area	2016	641.22	615.35	667.88
Alcohol-related hospital admissions	Fife	S12000047	Council area	2017	644.98	619.04	671.72
